"Title: Health Care Expenditures per Capita by State of Residence | KFF"
"Timeframe: 1991 - 2020"
"Location","1991__Health Spending per Capita","1992__Health Spending per Capita","1993__Health Spending per Capita","1994__Health Spending per Capita","1995__Health Spending per Capita","1996__Health Spending per Capita","1997__Health Spending per Capita","1998__Health Spending per Capita","1999__Health Spending per Capita","2000__Health Spending per Capita","2001__Health Spending per Capita","2002__Health Spending per Capita","2003__Health Spending per Capita","2004__Health Spending per Capita","2005__Health Spending per Capita","2006__Health Spending per Capita","2007__Health Spending per Capita","2008__Health Spending per Capita","2009__Health Spending per Capita","2010__Health Spending per Capita","2011__Health Spending per Capita","2012__Health Spending per Capita","2013__Health Spending per Capita","2014__Health Spending per Capita","2015__Health Spending per Capita","2016__Health Spending per Capita","2017__Health Spending per Capita","2018__Health Spending per Capita","2019__Health Spending per Capita","2020__Health Spending per Capita"
"Vermont","2328","2469","2623","2777","3039","3184","3444","3682","4033","4398","4792","5260","5840","6233","6665","7304","7654","7972","8464","8850","9209","9679","10247","10589","11010","11246","11521","11797","12159","12756"
"Virginia","2340","2419","2544","2656","2772","2942","3102","3239","3354","3661","3850","4194","4550","4877","5178","5484","5803","6098","6414","6548","6790","7045","7192","7449","7750","7987","8176","8425","8826","9195"
"Washington","2507","2672","2736","2836","2997","3066","3154","3393","3641","3863","4168","4541","4882","5130","5462","5754","6157","6489","6805","6912","7022","7333","7356","7602","7904","8097","8278","8588","8964","9265"
"West Virginia","2585","2845","3037","3227","3440","3619","3855","4036","4221","4458","4872","5250","5628","6013","6385","6707","7089","7311","7748","7920","8210","8712","8891","9385","9947","10488","11017","11337","11951","12769"
"Wisconsin","2547","2710","2870","3024","3195","3376","3526","3688","4001","4314","4744","5085","5411","5766","6139","6553","6883","7148","7441","7605","7825","7906","7984","8371","8654","8809","9019","9244","9652","9982"
"Wyoming","2216","2278","2464","2635","2836","3012","3189","3425","3606","3964","4275","4706","5003","5282","5686","6154","6560","6796","6943","7244","7482","7749","7845","8269","8652","8976","9496","9787","10111","10989"

"Notes"
"The Centers for Medicare and Medicaid Services (CMS) Office of the Actuary produces Health Expenditures by State of Residence and Health Expenditures by State of Provider every five years. The State Health Expenditure Accounts are a subcomponent of the National Health Expenditure Accounts (NHEA), the official government estimates of health spending in the United States.  "
""
"Additional information on data and methods is available [here.](http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html)  "
""
"For additional analysis of these data, please see Health Affairs article, [""Health Spending by State, 1991-2014: Measuring Per Capita Spending by Payer and Programs""](http://content.healthaffairs.org/content/early/2017/06/13/hlthaff.2017.0416)."

"Sources"
"Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group. [National Health Expenditure Data: Health Expenditures by State of Residence](https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html), August 2022."

"Definitions"
"*Health Spending Per Capita* includes spending for all privately and publicly funded personal health care services and products (hospital care, physician services, nursing home care, prescription drugs, etc.) by state of residence (aggregate spending divided by population). Hospital spending is included and reflects the total net revenue (gross charges less contractual adjustments, bad debts, and charity care). Costs such as insurance program administration, research, and construction expenses are not included in this total."


